
 -------   CERRÓ EL MERCADO  :  6:0

 -------   Formulario Abierto ------ MENUDEO :  6:5

 -------    SIN DIVISAS  :  6:6

 -------    SIN DIVISAS  :  6:8

 -------    SIN DIVISAS  :  6:9

 -------    SIN DIVISAS  :  6:10

 -------    SIN DIVISAS  :  6:10

 -------    SIN DIVISAS  :  6:11

 -------    SIN DIVISAS  :  6:11

 -------    SIN DIVISAS  :  6:12

 -------    SIN DIVISAS  :  6:13

 -------    SIN DIVISAS  :  6:29

 -------    SIN DIVISAS  :  6:29

 -------    SIN DIVISAS  :  6:30

 -------    SIN DIVISAS  :  6:30

 -------    SIN DIVISAS  :  6:31

 -------    SIN DIVISAS  :  6:31

 -------    SIN DIVISAS  :  6:32

 -------    SIN DIVISAS  :  6:32

 -------    SIN DIVISAS  :  6:33

 -------    SIN DIVISAS  :  6:33

 -------    SIN DIVISAS  :  6:34

 -------    SIN DIVISAS  :  6:34

 -------    SIN DIVISAS  :  6:35

 -------    SIN DIVISAS  :  6:35

 -------    SIN DIVISAS  :  6:36

 -------    SIN DIVISAS  :  6:36

 -------    SIN DIVISAS  :  6:37

 -------    SIN DIVISAS  :  6:37

 -------    SIN DIVISAS  :  6:38

 -------    SIN DIVISAS  :  6:38

 -------    SIN DIVISAS  :  6:39

 -------    SIN DIVISAS  :  6:39

 -------    SIN DIVISAS  :  6:40

 -------    SIN DIVISAS  :  6:40

 -------    SIN DIVISAS  :  6:41

 -------   Formulario Abierto ------ MENUDEO :  6:42

 -------    SIN DIVISAS  :  6:47

 -------    SIN DIVISAS  :  6:48

 -------    SIN DIVISAS  :  6:49

 -------    SIN DIVISAS  :  6:50

 -------    SIN DIVISAS  :  6:51

 -------    SIN DIVISAS  :  6:52

 -------    SIN DIVISAS  :  6:52

 -------    SIN DIVISAS  :  6:57

 -------    SIN DIVISAS  :  6:58

 -------    SIN DIVISAS  :  6:58

 -------    SIN DIVISAS  :  6:59

 -------    SIN DIVISAS  :  6:59

 -------    SIN DIVISAS  :  7:0

 -------    SIN DIVISAS  :  7:0

 -------    SIN DIVISAS  :  7:1

 -------    SIN DIVISAS  :  7:1

 -------    SIN DIVISAS  :  7:2

 -------    SIN DIVISAS  :  7:3

 -------    SIN DIVISAS  :  7:3

 -------    SIN DIVISAS  :  7:4

 -------    SIN DIVISAS  :  7:4

 -------    SIN DIVISAS  :  7:5

 -------    SIN DIVISAS  :  7:5

 -------    SIN DIVISAS  :  7:6

 -------    SIN DIVISAS  :  7:6

 -------    SIN DIVISAS  :  7:7

 -------    SIN DIVISAS  :  7:7

 -------    SIN DIVISAS  :  7:8

 -------    SIN DIVISAS  :  7:8

 -------    SIN DIVISAS  :  7:9

 -------    SIN DIVISAS  :  7:10

 -------    SIN DIVISAS  :  7:10

 -------    SIN DIVISAS  :  7:11

 -------    SIN DIVISAS  :  7:11

 -------    SIN DIVISAS  :  7:12

 -------    SIN DIVISAS  :  7:13

 -------    SIN DIVISAS  :  7:13

 -------    SIN DIVISAS  :  7:14

 -------    SIN DIVISAS  :  7:14

 -------    SIN DIVISAS  :  7:15

 -------    SIN DIVISAS  :  7:15

 -------    SIN DIVISAS  :  7:18

 -------    SIN DIVISAS  :  7:18

 -------    SIN DIVISAS  :  7:19

 -------    SIN DIVISAS  :  7:20

 -------    SIN DIVISAS  :  7:20

 -------    SIN DIVISAS  :  7:21

 -------    SIN DIVISAS  :  7:21

 -------    SIN DIVISAS  :  7:22

 -------   Formulario Abierto ------ MENUDEO :  7:22

 -------    SIN DIVISAS  :  7:31

 -------    SIN DIVISAS  :  7:33

 -------    SIN DIVISAS  :  7:34

 -------    SIN DIVISAS  :  7:34

 -------    SIN DIVISAS  :  7:37

 -------    SIN DIVISAS  :  7:38

 -------    SIN DIVISAS  :  7:38

 -------    SIN DIVISAS  :  7:39

 -------    SIN DIVISAS  :  7:39

 -------    SIN DIVISAS  :  7:40

 -------    SIN DIVISAS  :  7:41

 -------    SIN DIVISAS  :  7:41

 -------    SIN DIVISAS  :  7:42

 -------    SIN DIVISAS  :  7:42

 -------    SIN DIVISAS  :  7:43

 -------    SIN DIVISAS  :  7:44

 -------    SIN DIVISAS  :  7:44

 -------    SIN DIVISAS  :  7:45

 -------    SIN DIVISAS  :  7:45

 -------    SIN DIVISAS  :  7:46

 -------    SIN DIVISAS  :  7:47

 -------    SIN DIVISAS  :  7:47

 -------    SIN DIVISAS  :  7:48

 -------    SIN DIVISAS  :  7:48

 -------    SIN DIVISAS  :  7:49

 -------    SIN DIVISAS  :  7:49

 -------    SIN DIVISAS  :  7:50

 -------    SIN DIVISAS  :  7:50

 -------    SIN DIVISAS  :  7:51

 -------    SIN DIVISAS  :  7:51

 -------    SIN DIVISAS  :  7:53

 -------    SIN DIVISAS  :  7:54

 -------    SIN DIVISAS  :  7:54

 -------    SIN DIVISAS  :  7:55

 -------    SIN DIVISAS  :  7:55

 -------    SIN DIVISAS  :  7:56

 -------    SIN DIVISAS  :  7:56

 -------    SIN DIVISAS  :  7:57

 -------    SIN DIVISAS  :  7:58

 -------    SIN DIVISAS  :  7:59

 -------    SIN DIVISAS  :  7:59

 -------    SIN DIVISAS  :  8:0

 -------    SIN DIVISAS  :  8:0

 -------    SIN DIVISAS  :  8:1

 -------    SIN DIVISAS  :  8:1

 -------    SIN DIVISAS  :  8:2

 -------    SIN DIVISAS  :  8:2

 -------    SIN DIVISAS  :  8:3

 -------    SIN DIVISAS  :  8:3

 -------    SIN DIVISAS  :  8:4

 -------    SIN DIVISAS  :  8:5

 -------    SIN DIVISAS  :  8:6

 -------    SIN DIVISAS  :  8:7

 -------    SIN DIVISAS  :  8:8

